zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
uncore,51.051667863,35.79097999999999,0.7010765184257265,0.7576684615914452,1572.511085,35.032718999999815,1608.302065
package-0,52.052317415,1105.4698849999986,21.23769209825224,21.295206635165957,33902.944687,1084.1576329999953,35008.414572
core,52.052407126,869.3063469999979,16.700645388130493,16.79460206307939,26566.32213,852.498302,27435.628477
uncore,52.054257441,36.47067799999991,0.7006550250606788,0.6791543830987442,1572.511085,35.79097999999999,1608.981763
package-0,53.054846316,1127.3110869999946,21.248054586917284,21.786084361224546,33902.944687,1105.4698849999986,35030.255774
core,53.054928852,886.5484519999991,16.71005467725262,17.19859347004741,26566.32213,869.3063469999979,27452.870582
uncore,53.054973635,37.22175399999992,0.7015719706239426,0.7491806127563109,1572.511085,36.47067799999991,1609.732839
package-0,54.055552693,1148.982176999998,21.255607570879082,21.65605147480202,33902.944687,1127.3110869999946,35051.926864
core,54.055625366,903.6745950000004,16.717537441046947,17.11425841398793,26566.32213,886.5484519999991,27469.996725
uncore,54.055663557,37.939046999999846,0.7018537891951439,0.7167952387494632,1572.511085,37.22175399999992,1610.450132
package-0,55.056219266,1170.269588999996,21.25592053926049,21.272826605528177,33902.944687,1148.982176999998,35073.214276
core,55.056307102,920.6702829999995,16.722381374559095,16.984043145576948,26566.32213,903.6745950000004,27486.992413
uncore,55.056350825,38.41473099999985,0.6977370661838725,0.47535807786428463,1572.511085,37.939046999999846,1610.925816
package-0,56.056926432,1191.5487619999985,21.256066871505485,21.2641176644703,33902.944687,1170.269588999996,35094.493449
core,56.057009395,937.469051,16.723532828464144,16.786882618516533,26566.32213,920.6702829999995,27503.791181
uncore,56.057047684,39.07518899999991,0.6970632313918803,0.6599907160132735,1572.511085,38.41473099999985,1611.586274
package-0,57.057651539,1212.5928399999975,21.252086873028762,21.029138962767256,33902.944687,1191.5487619999985,35115.537527
core,57.057840242,953.9679539999997,16.719387715082945,16.487190549295054,26566.32213,937.469051,27520.290084
uncore,57.057887272,39.79644899999994,0.6974786288413669,0.7207479827952955,1572.511085,39.07518899999991,1612.307534
package-0,58.058460195,1234.3998169999977,21.261347913944327,21.78933304398915,33902.944687,1212.5928399999975,35137.344504
core,58.058544253,971.5180719999989,16.733463055492685,17.53591825512028,26566.32213,953.9679539999997,27537.840202
uncore,58.058588615,40.244118999999955,0.6931661879444186,0.4473077916211356,1572.511085,39.79644899999994,1612.755204
package-0,59.059159351,1256.095061,21.26844625842923,21.68028053054346,33902.944687,1234.3998169999977,35159.039748
core,59.059234136,988.5724269999992,16.738700906502835,17.04259240723185,26566.32213,971.5180719999989,27554.894557
uncore,59.059278078,41.0327749999999,0.6947749394277065,0.7881120545172631,1572.511085,40.244118999999955,1613.54386
package-0,60.059886798,1277.8993069999997,21.27711236055956,21.788556169644714,33902.944687,1256.095061,35180.843994
core,60.059966177,1005.8642110000001,16.747709087624223,17.279341232775902,26566.32213,988.5724269999992,27572.186341
uncore,60.060015777,41.710871,0.6944889038302025,0.677608057825696,1572.511085,41.0327749999999,1614.221956
package-0,61.060540353,1296.9783379999935,21.240897110129403,19.067168456474494,33902.944687,1277.8993069999997,35199.923025
core,61.060660458,1020.4300320000002,16.711805188066425,14.556764581699461,26566.32213,1005.8642110000001,27586.752162
uncore,61.060747955,42.42074899999989,0.6947338582640437,0.7094366275492431,1572.511085,41.710871,1614.931834
package-0,62.06161156,1318.4630509999988,21.24444730263697,21.46098416925591,33902.944687,1296.9783379999935,35221.407738
core,62.061705569,1037.3998580000007,16.715664954227154,16.951083644494005,26566.32213,1020.4300320000002,27603.721988
uncore,62.061753878,43.12434099999996,0.6948642126456124,0.7028149165228749,1572.511085,42.42074899999989,1615.635426
package-0,63.06231105,1339.8559879999957,21.24655592615888,21.377324840383412,33902.944687,1318.4630509999988,35242.800675
core,63.06238854,1054.2369389999985,16.71739670867231,16.82479361767176,26566.32213,1037.3998580000007,27620.559069
uncore,63.062430165,43.855778999999984,0.6954361286242704,0.7309042104224951,1572.511085,43.12434099999996,1616.366864
package-0,64.063051493,1360.8964339999948,21.243099576568085,21.025291327440197,33902.944687,1339.8559879999957,35263.841121
core,64.063123861,1070.719591000001,16.713544338815836,16.47078014167956,26566.32213,1054.2369389999985,27637.041721
